iter	Passed	Remaining
667	1420	706
668	1422	703
669	1424	701
670	1426	699
671	1428	697
672	1431	695
673	1433	693
674	1434	690
675	1436	688
676	1438	686
677	1439	683
678	1441	681
679	1442	678
680	1444	676
681	1446	674
682	1448	672
683	1449	669
684	1451	667
685	1453	665
686	1454	662
687	1456	660
688	1457	658
689	1460	656
690	1462	653
691	1463	651
692	1465	649
693	1467	647
694	1469	644
695	1470	642
696	1472	640
697	1474	638
698	1476	635
699	1477	633
700	1479	631
701	1481	628
702	1483	626
703	1484	624
704	1486	622
705	1488	619
706	1491	617
707	1492	615
708	1495	613
709	1497	611
710	1498	609
711	1500	606
712	1501	604
713	1503	602
714	1505	599
715	1506	597
716	1508	595
717	1509	593
718	1511	590
719	1512	588
720	1514	585
721	1515	583
722	1517	581
723	1519	579
724	1521	576
725	1522	574
726	1524	572
727	1525	569
728	1527	567
729	1528	565
730	1529	562
731	1530	560
732	1532	558
733	1534	555
734	1535	553
735	1537	551
736	1538	549
737	1539	546
738	1541	544
739	1542	542
740	1543	539
741	1545	537
742	1546	534
743	1548	532
744	1550	530
745	1551	528
746	1552	525
747	1554	523
748	1555	521
749	1556	518
750	1558	516
751	1559	514
752	1561	512
753	1562	509
754	1564	507
755	1566	505
756	1567	503
757	1569	501
758	1571	498
759	1572	496
760	1574	494
761	1575	492
762	1576	489
763	1578	487
764	1580	485
765	1581	483
766	1582	480
767	1584	478
768	1585	476
769	1587	474
770	1588	471
771	1589	469
772	1591	467
773	1592	464
774	1594	462
775	1595	460
776	1596	458
777	1598	456
778	1599	453
779	1600	451
780	1602	449
781	1603	447
782	1605	444
783	1606	442
784	1607	440
785	1609	438
786	1611	436
787	1612	433
788	1613	431
789	1615	429
790	1616	427
791	1617	424
792	1619	422
793	1620	420
794	1621	418
795	1623	416
796	1625	413
797	1626	411
798	1627	409
799	1629	407
800	1630	405
801	1632	402
802	1633	400
803	1634	398
804	1636	396
805	1637	394
806	1639	392
807	1640	389
808	1642	387
809	1643	385
810	1644	383
811	1646	381
812	1647	378
